name,files,tags,Icarus,UhdmVerilator,tree_sitter_verilog,Slang,Yosys,moore_parse,UhdmYosys,moore,Sv2v_zachjs,Odin,Verilator,Surelog,Verible,sv_parser
block_names_seq,/tmpfs/src/github/sv-tests/tests/chapter-9/9.3.4--block_names_seq.sv,9.3.4,True,,True,True,True,True,False,True,True,False,True,True,True,True
disable,/tmpfs/src/github/sv-tests/tests/chapter-9/9.6.2--disable.sv,9.6.2,True,,True,False,False,True,False,False,False,False,True,True,True,True
wait_fork,/tmpfs/src/github/sv-tests/tests/chapter-9/9.6.1--wait_fork.sv,9.6.1,True,,True,False,False,True,False,False,False,False,False,True,True,True
statement_labels_seq,/tmpfs/src/github/sv-tests/tests/chapter-9/9.3.5--statement_labels_seq.sv,9.3.5,False,,True,True,False,True,False,True,True,False,True,True,True,True
event_implicit,/tmpfs/src/github/sv-tests/tests/chapter-9/9.4.2.2--event_implicit.sv,9.4.2.2,True,,True,True,True,True,False,True,True,True,True,True,True,True
event_control_negedge,/tmpfs/src/github/sv-tests/tests/chapter-9/9.4.2--event_control_negedge.sv,9.4.2,True,,True,True,True,True,True,True,True,True,True,True,True,True
statement_labels_par,/tmpfs/src/github/sv-tests/tests/chapter-9/9.3.5--statement_labels_par.sv,9.3.5,False,,True,True,False,True,False,False,True,False,False,True,True,True
event_sequence_controls,/tmpfs/src/github/sv-tests/tests/chapter-9/9.4.3--event_sequence_controls.sv,9.4.3,True,,True,False,False,True,False,False,False,False,False,True,True,True
event_nonblocking_assignment_repeat,/tmpfs/src/github/sv-tests/tests/chapter-9/9.4.5--event_nonblocking_assignment_repeat.sv,9.4.5,True,,True,False,False,False,False,False,False,False,False,True,True,True
event_or_op,/tmpfs/src/github/sv-tests/tests/chapter-9/9.4.2.1--event_or_op.sv,9.4.2.1,True,,True,True,True,True,True,True,True,True,True,True,True,True
number_test_4,/tmpfs/src/github/sv-tests/tests/generic/number/number_test_4.sv,5.6.4 5.7.1 5.7.2,False,,True,True,False,True,False,True,True,False,True,True,True,True
number_test_46,/tmpfs/src/github/sv-tests/tests/generic/number/number_test_46.sv,5.6.4 5.7.1 5.7.2,False,,True,True,False,True,False,True,True,False,True,True,True,True
number_test_67,/tmpfs/src/github/sv-tests/tests/generic/number/number_test_67.sv,5.6.4 5.7.1 5.7.2,False,,True,True,False,True,False,True,True,False,True,True,True,True
number_test_53,/tmpfs/src/github/sv-tests/tests/generic/number/number_test_53.sv,5.6.4 5.7.1 5.7.2,False,,True,True,False,True,False,True,True,False,True,True,True,True
number_test_5,/tmpfs/src/github/sv-tests/tests/generic/number/number_test_5.sv,5.6.4 5.7.1 5.7.2,False,,True,True,False,True,False,True,True,False,True,True,True,True
number_test_14,/tmpfs/src/github/sv-tests/tests/generic/number/number_test_14.sv,5.6.4 5.7.1 5.7.2,False,,True,True,False,True,False,True,True,False,True,True,True,True
number_test_50,/tmpfs/src/github/sv-tests/tests/generic/number/number_test_50.sv,5.6.4 5.7.1 5.7.2,False,,True,True,False,True,False,True,True,False,True,True,True,True
number_test_43,/tmpfs/src/github/sv-tests/tests/generic/number/number_test_43.sv,5.6.4 5.7.1 5.7.2,False,,True,True,False,True,False,True,True,False,True,True,True,True
number_test_10,/tmpfs/src/github/sv-tests/tests/generic/number/number_test_10.sv,5.6.4 5.7.1 5.7.2,False,,True,True,False,True,False,True,True,False,True,True,True,True
number_test_8,/tmpfs/src/github/sv-tests/tests/generic/number/number_test_8.sv,5.6.4 5.7.1 5.7.2,False,,True,True,False,True,False,True,True,False,True,True,True,True
number_test_32,/tmpfs/src/github/sv-tests/tests/generic/number/number_test_32.sv,5.6.4 5.7.1 5.7.2,False,,True,True,False,True,False,True,True,False,True,True,True,True
number_test_31,/tmpfs/src/github/sv-tests/tests/generic/number/number_test_31.sv,5.6.4 5.7.1 5.7.2,False,,True,True,False,True,False,True,True,False,True,True,True,True
number_test_69,/tmpfs/src/github/sv-tests/tests/generic/number/number_test_69.sv,5.6.4 5.7.1 5.7.2,False,,True,True,False,True,False,True,True,False,True,True,True,True
number_test_51,/tmpfs/src/github/sv-tests/tests/generic/number/number_test_51.sv,5.6.4 5.7.1 5.7.2,False,,True,True,False,True,False,True,True,False,True,True,True,True
number_test_42,/tmpfs/src/github/sv-tests/tests/generic/number/number_test_42.sv,5.6.4 5.7.1 5.7.2,False,,True,True,False,True,False,True,True,False,True,True,True,True
number_test_68,/tmpfs/src/github/sv-tests/tests/generic/number/number_test_68.sv,5.6.4 5.7.1 5.7.2,False,,True,True,False,True,False,True,True,False,True,True,True,True
number_test_25,/tmpfs/src/github/sv-tests/tests/generic/number/number_test_25.sv,5.6.4 5.7.1 5.7.2,False,,True,True,False,True,False,True,True,False,True,True,True,True
number_test_59,/tmpfs/src/github/sv-tests/tests/generic/number/number_test_59.sv,5.6.4 5.7.1 5.7.2,False,,True,True,False,True,False,True,True,False,True,True,True,True
